rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
65,Colby College,"Waterville, ME",72.4,28.9,22.4,16.1,5,7.84,53000,2.6,Private
66,Northeastern University,"Boston, MA",72.2,30.1,18.7,17.4,6,8.6,61000,1.9,Private
66,Bates College,"Lewiston, ME",72.2,28.8,22.6,16.1,4.7,7.89,53000,2.3,Private
66,Vassar College,"Poughkeepsie, NY",72.2,26.2,23.4,16,6.6,8.12,48000,0.3,Private
69,Ohio State University,"Columbus, OH",72.1,33.5,16.2,17.2,5.3,8.46,43000,5,Public
70,Lafayette College,"Easton, PA",72,29.9,22.6,15.8,3.7,8.22,69000,0.9,Private
71,University of Wisconsin-Madison,"Madison, WI",71.8,34.4,15.9,17.2,4.2,8.66,51000,1.2,Public
71,Tulane University,New Orleans.. LA,71.8,25.8,24.6,16.8,4.6,8.61,53000,5.1,Private
73,Washington and Lee University,"Lexington, VA",71.4,29.5,23.6,15.6,2.6,8.4,75000,1.1,Private
74,Barnard College,New York NY,71.3,27.5,20.8,16.1,6.9,8.13,57000,0.7,Private
75,Grinnell College,"Grinnell, IA",71,26.1,23.2,15.2,6.4,8.14,44000,3.5,Private
75,University of Pittsburgh-Pittsburgh campus,"Pittsburgh, PA",71,31.4,18.4,16.5,4.7,7.91,48000,3.8,Public
77,Mount Holyoke College,"South Hadley, MA",70.9,25.4,22.1,16.4,7,8.65,44000,2.1,Private
78,Macalester College,"Saint Paul, MN",70.8,27.3,22.1,15.8,5.6,8.05,46000,0.3,Private
79,Trinity University,"San Antonio, TX",70.6,24.8,22.5,17,6.3,7.58,54000,1.8,Private
80,Michigan State University,"East Lansing, MI",70.5,31.6,15.8,17.3,5.8,8.62,50000,3.6,Public
81,Southern Methodist University,"Dallas, TX",70.4,27.1,20.7,17.1,5.6,8.29,53000,2.9,Private
82,"University of Maryland, College Park","College Park, MD",70.3,34,13.1,16.7,6.5,7.85,60000,2.1,Public
83,Worcester Polytechnic Institute,"Worcester, MA",70.2,28.6,20,16.3,5.3,8.84,79000,1.9,Private
84,Denison University,"Granville, OH",70,26.7,21.6,16.2,5.5,8.17,49000,1.3,Private
84,Drexel University,"Philadelphia, PA",70,25.7,20.3,17,6.9,8.54,62000,3.1,Private
84,College of the Holy Cross,"Worcester, MA",70,29.3,21.3,15.8,3.6,9.15,63000,0.5,Private
87,Rensselaer Polytechnic Institute,"Troy, NY",69.9,29.5,18.8,15,6.6,7.22,81000,0.9,Private
87,Brandeis University,"Waltham, MA",69.9,26.4,21.8,15.7,5.9,7.89,58000,1.5,Private
89,Franklin & Marshall College,"Lancaster, PA",69.6,27.5,22.3,15.3,4.4,7.54,54000,2.2,Private
89,University of Washington-Seattle,"Seattle, WA",69.6,27.9,17.6,16.7,7.4,7.97,53000,2.6,Public
91,Occidental College,"Los Angeles, CA",69.5,27.3,20.4,14.9,6.9,6.55,49000,0,Private
92,Union College,"Schenectady, NY",69.3,28.8,21.6,15.2,3.7,8.24,63000,0.9,Private
