loc_string,Address,Latitude,Longitude
"Dominican University of California, San Rafael, CA, USA","50 Acacia Ave, San Rafael, CA 94901, USA",37.9798656,-122.5129887
"Rollins College, Winter Park, FL, USA","1000 Holt Ave, Winter Park, FL 32789, USA",28.592242,-81.348326
"Embry-Riddle Aeronautical University, Prescott, Prescott, AZ, USA","3700 Willow Creek Rd, Prescott, AZ 86301, USA",34.6161042,-112.4507711
"Earlham College, Richmond, IN, USA","801 National Rd W, Richmond, IN 47374, USA",39.8208853,-84.913052
"University of Oklahoma, Norman, OK, USA","660 Parrington Oval, Norman, OK 73019, USA",35.2058936,-97.4457137
"Florida State University, Tallahassee, FL, USA","600 W College Ave, Tallahassee, FL 32306, USA",30.4418778,-84.2984889
"SUNY University at Albany, Albany, NY, USA","1400 Washington Ave, Albany, NY 12222, USA",42.6849434,-73.8252496
"Hofstra University, Hempstead, NY, USA","1000 Fulton Ave, Hempstead, NY 11549, USA",40.716792,-73.5994041
"Westmont College, Santa Barbara, CA, USA","955 La Paz Road, Santa Barbara, CA 93108, United States",34.4488434,-119.6610313
"Valparaiso University, Valparaiso, IN, USA","1700 Chapel Dr, Valparaiso, IN 46383, USA",41.4639394,-87.0438894
"University of Georgia, Athens, GA, USA","Athens, GA 30602, USA",33.9480053,-83.3773221
